Lotus 1-2-3;application/vnd.lotus-1-2-3;.123
ClueTrust CartoMobile - Config Package;application/vnd.cluetrust.cartomobile-config-pkg;.c11amz
Clonk Game;application/vnd.clonk.c4group;.c4g
Microsoft Cabinet File;application/vnd.ms-cab-compressed;.cab
CURL Applet;application/vnd.curl.car;.car
Microsoft Trust UI Provider - Security Catalog;application/vnd.ms-pki.seccat;.cat
Voice Browser Call Control;application/ccxml+xml,;.ccxml
CIM Database;application/vnd.contact.cmsg;.cdbcmsg
MediaRemote;application/vnd.mediastation.cdkey;.cdkey
Cloud Data Management Interface (CDMI) - Capability;application/cdmi-capability;.cdmia
Cloud Data Management Interface (CDMI) - Contaimer;application/cdmi-container;.cdmic
Cloud Data Management Interface (CDMI) - Domain;application/cdmi-domain;.cdmid
Cloud Data Management Interface (CDMI) - Object;application/cdmi-object;.cdmio
Cloud Data Management Interface (CDMI) - Queue;application/cdmi-queue;.cdmiq
ChemDraw eXchange file;chemical/x-cdx;.cdx
CambridgeSoft Chem Draw;application/vnd.chemdraw+xml;.cdxml
Interactive Geometry Software Cinderella;application/vnd.cinderella;.cdy
Internet Public Key Infrastructure - Certificate;application/pkix-cert;.cer
Computer Graphics Metafile;image/cgm;.cgm
pIRCh;application/x-chat;.chat
Microsoft Html Help File;application/vnd.ms-htmlhelp;.chm
KDE KOffice Office Suite - KChart;application/vnd.kde.kchart;.chrt
Crystallographic Interchange Format;chemical/x-cif;.cif
ANSER-WEB Terminal Client - Certificate Issue;application/vnd.anser-web-certificate-issue-initiation;.cii
Microsoft Artgalry;application/vnd.ms-artgalry;.cil
Claymore Data Files;application/vnd.claymore;.cla
Java Bytecode File;application/java-vm;.class
CrickSoftware - Clicker - Keyboard;application/vnd.crick.clicker.keyboard;.clkk
CrickSoftware - Clicker - Palette;application/vnd.crick.clicker.palette;.clkp
CrickSoftware - Clicker - Template;application/vnd.crick.clicker.template;.clkt
CrickSoftware - Clicker - Wordbank;application/vnd.crick.clicker.wordbank;.clkw
CrickSoftware - Clicker;application/vnd.crick.clicker;.clkx
Microsoft Clipboard Clip;application/x-msclip;.clp
CosmoCaller;application/vnd.cosmocaller;.cmc
CrystalMaker Data Format;chemical/x-cmdf;.cmdf
Chemical Markup Language;chemical/x-cml;.cml
CustomMenu;application/vnd.yellowriver-custom-menu;.cmp
Corel Metafile Exchange (CMX);image/x-cmx;.cmx
Blackberry COD File;application/vnd.rim.cod;.cod
CPIO Archive;application/x-cpio;.cpio
Compact Pro;application/mac-compactpro;.cpt
Microsoft Information Card;application/x-mscardfile;.crd
Internet Public Key Infrastructure - Certificate Revocation Lists;application/pkix-crl;.crl
CryptoNote;application/vnd.rig.cryptonote;.cryptonote
C Shell Script;application/x-csh;.csh
Chemical Style Markup Language;chemical/x-csml;.csml
Sixth Floor Media - CommonSpace;application/vnd.commonspace;.csp
Cascading Style Sheets (CSS);text/css;.css
Comma-Seperated Values;text/csv;.csv
CU-SeeMe;application/cu-seeme;.cu
Curl - Applet;text/vnd.curl;.curl
CU-Writer;application/prs.cww;.cww
COLLADA;model/vnd.collada+xml;.dae
Mobius Management Systems - UniversalArchive;application/vnd.mobius.daf;.daf
Web Distributed Authoring and Versioning;application/davmount+xml;.davmount
Curl - Detached Applet;text/vnd.curl.dcurl;.dcurl
OMA Download Agents;application/vnd.oma.dd2+xml;.dd2
Fujitsu - Xerox 2D CAD Data;application/vnd.fujixerox.ddd;.ddd
Debian Package;application/x-debian-package;.deb
X.509 Certificate;application/x-x509-ca-cert;.der
DreamFactory;application/vnd.dreamfactory;.dfac
Adobe Shockwave Player;application/x-director;.dir
Mobius Management Systems - Distribution Database;application/vnd.mobius.dis;.dis
DjVu;image/vnd.djvu;.djvu
New Moon Liftoff/DNA;application/vnd.dna;.dna
Microsoft Word;application/msword;.doc
Microsoft Word - Macro-Enabled Document;application/vnd.ms-word.document.macroenabled.12;.docm
Microsoft Office - OOXML - Word Document;application/vnd.openxmlformats-officedocument.wordprocessingml.document;.docx
Microsoft Word - Macro-Enabled Template;application/vnd.ms-word.template.macroenabled.12;.dotm
Microsoft Office - OOXML - Word Document Template;application/vnd.openxmlformats-officedocument.wordprocessingml.template;.dotx
OSGi Deployment Package;application/vnd.osgi.dp;.dp
DPGraph;application/vnd.dpgraph;.dpg
DRA Audio;audio/vnd.dra;.dra
PRS Lines Tag;text/prs.lines.tag;.dsc
Data Structure for the Security Suitability of Cryptographic Algorithms;application/dssc+der;.dssc
Digital Talking Book;application/x-dtbook+xml;.dtb
Document Type Definition;application/xml-dtd;.dtd
DTS Audio;audio/vnd.dts;.dts
DTS High Definition Audio;audio/vnd.dts.hd;.dtshd
Device Independent File Format (DVI);application/x-dvi;.dvi
Autodesk Design Web Format (DWF);model/vnd.dwf;.dwf
DWG Drawing;image/vnd.dwg;.dwg
AutoCAD DXF;image/vnd.dxf;.dxf
TIBCO Spotfire;application/vnd.spotfire.dxp;.dxp
Nuera ECELP 4800;audio/vnd.nuera.ecelp4800;.ecelp4800
Nuera ECELP 7470;audio/vnd.nuera.ecelp7470;.ecelp7470
Nuera ECELP 9600;audio/vnd.nuera.ecelp9600;.ecelp9600
Novadigm's RADIA and EDM products;application/vnd.novadigm.edm;.edm
Novadigm's RADIA and EDM products;application/vnd.novadigm.edx;.edx
Pcsel eFIF File;application/vnd.picsel;.efif
Proprietary P&G Standard Reporting System;application/vnd.pg.osasli;.ei6
Email Message;message/rfc822;.eml
Extensible MultiModal Annotation;application/emma+xml;.emma
Digital Winds Music;audio/vnd.digital-winds;.eol
Microsoft Embedded OpenType;application/vnd.ms-fontobject;.eot
Electronic Publication;application/epub+zip;.epub
ECMAScript;application/ecmascript;.es
MICROSEC e-Szign«;application/vnd.eszigno3+xml;.es3
QUASS Stream Player;application/vnd.epson.esf;.esf
Setext;text/x-setext;.etx
Microsoft Application;application/x-msdownload;.exe
Efficient XML Interchange;application/exi;.exi
Novadigm's RADIA and EDM products;application/vnd.novadigm.ext;.ext
EZPix Secure Photo Album;application/vnd.ezpix-album;.ez2
EZPix Secure Photo Album;application/vnd.ezpix-package;.ez3
Fortran Source File;text/x-fortran;.f
Flash Video;video/x-f4v;.f4v
FastBid Sheet;image/vnd.fastbidsheet;.fbs
International Society for Advancement of Cytometry;application/vnd.isac.fcs;.fcs
Forms Data Format;application/vnd.fdf;.fdf
FCS Express Layout Link;application/vnd.denovo.fcselayout-link;.fe_launch
Fujitsu Oasys;application/vnd.fujitsu.oasysgp;.fg5
FreeHand MX;image/x-freehand;.fh
Xfig;application/x-xfig;.fig
FLI/FLC Animation Format;video/x-fli;.fli
Micrografx;application/vnd.micrografx.flo;.flo
Flash Video;video/x-flv;.flv
KDE KOffice Office Suite - Kivio;application/vnd.kde.kivio;.flw
FLEXSTOR;text/vnd.fmi.flexstor;.flx
mod_fly / fly.cgi;text/vnd.fly;.fly
FrameMaker Normal Format;application/vnd.framemaker;.fm
Frogans Player;application/vnd.frogans.fnc;.fnc
FlashPix;image/vnd.fpx;.fpx
Friendly Software Corporation;application/vnd.fsc.weblaunch;.fsc
FAST Search & Transfer ASA;image/vnd.fst;.fst
FluxTime Clip;application/vnd.fluxtime.clip;.ftc
ANSER-WEB Terminal Client - Web Funds Transfer;application/vnd.anser-web-funds-transfer-initiation;.fti
FAST Search & Transfer ASA;video/vnd.fvt;.fvt
Adobe Flex Project;application/vnd.adobe.fxp;.fxp
FuzzySheet;application/vnd.fuzzysheet;.fzs
GeoplanW;application/vnd.geoplan;.g2w
G3 Fax Image;image/g3fax;.g3
GeospacW;application/vnd.geospace;.g3w
Groove - Account;application/vnd.groove-account;.gac
Geometric Description Language (GDL);model/vnd.gdl;.gdl
DynaGeo;application/vnd.dynageo;.geo
GeoMetry Explorer;application/vnd.geometry-explorer;.gex
GeoGebra;application/vnd.geogebra.file;.ggb
GeoGebra;application/vnd.geogebra.tool;.ggt
Groove - Help;application/vnd.groove-help;.ghf
Graphics Interchange Format;image/gif;.gif
Groove - Identity Message;application/vnd.groove-identity-message;.gim
GameMaker ActiveX;application/vnd.gmx;.gmx
Gnumeric;application/x-gnumeric;.gnumeric
NpGraphIt;application/vnd.flographit;.gph
GrafEq;application/vnd.grafeq;.gqf
Speech Recognition Grammar Specification;application/srgs;.gram
Groove - Injector;application/vnd.groove-injector;.grv
Speech Recognition Grammar Specification - XML;application/srgs+xml;.grxml
Ghostscript Font;application/x-font-ghostscript;.gsf
GNU Tar Files;application/x-gtar;.gtar
Groove - Tool Message;application/vnd.groove-tool-message;.gtm
Gen-Trix Studio;model/vnd.gtw;.gtw
Graphviz;text/vnd.graphviz;.gv
GEONExT and JSXGraph;application/vnd.geonext;.gxt
H.261;video/h261;.h261
H.263;video/h263;.h263
H.264;video/h264;.h264
Hypertext Application Language;application/vnd.hal+xml;.hal
Homebanking Computer Interface (HBCI);application/vnd.hbci;.hbci
Hierarchical Data Format;application/x-hdf;.hdf
WinHelp;application/winhlp;.hlp
HP-GL/2 and HP RTL;application/vnd.hp-hpgl;.hpgl
Hewlett Packard Instant Delivery;application/vnd.hp-hpid;.hpid
Hewlett-Packard's WebPrintSmart;application/vnd.hp-hps;.hps
Macintosh BinHex 4.0;application/mac-binhex40;.hqx
Kenamea App;application/vnd.kenameaapp;.htke
HyperText Markup Language (HTML);text/html;.html
HV Voice Dictionary;application/vnd.yamaha.hv-dic;.hvd
HV Voice Parameter;application/vnd.yamaha.hv-voice;.hvp
HV Script;application/vnd.yamaha.hv-script;.hvs
Interactive Geometry Software;application/vnd.intergeo;.i2g
ICC profile;application/vnd.iccprofile;.icc
CoolTalk;x-conference/x-cooltalk;.ice
Icon Image;image/x-icon;.ico
iCalendar;text/calendar;.ics
Image Exchange Format;image/ief;.ief
Shana Informed Filler;application/vnd.shana.informed.formdata;.ifm
igLoader;application/vnd.igloader;.igl
IOCOM Visimeet;application/vnd.insors.igm;.igm
Initial Graphics Exchange Specification (IGES);model/iges;.igs
Micrografx iGrafx Professional;application/vnd.micrografx.igx;.igx
Shana Informed Filler;application/vnd.shana.informed.interchange;.iif
Simply Accounting - Data Import;application/vnd.accpac.simply.imp;.imp
Microsoft Class Server;application/vnd.ms-ims;.ims
Internet Protocol Flow Information Export;application/ipfix;.ipfix
Shana Informed Filler;application/vnd.shana.informed.package;.ipk
IBM DB2 Rights Manager;application/vnd.ibm.rights-management;.irm
iRepository / Lucidoc Editor;application/vnd.irepository.package+xml;.irp
Shana Informed Filler;application/vnd.shana.informed.formtemplate;.itp
ImmerVision PURE Players;application/vnd.immervision-ivp;.ivp
ImmerVision PURE Players;application/vnd.immervision-ivu;.ivu
J2ME App Descriptor;text/vnd.sun.j2me.app-descriptor;.jad
Lightspeed Audio Lab;application/vnd.jam;.jam
Java Archive;application/java-archive;.jar
Java Source File;text/x-java-source,java;.java
RhymBox;application/vnd.jisp;.jisp
HP Indigo Digital Press - Job Layout Languate;application/vnd.hp-jlyt;.jlt
Java Network Launching Protocol;application/x-java-jnlp-file;.jnlp
Joda Archive;application/vnd.joost.joda-archive;.joda
JPEG Image;image/jpeg;.jpg
JPEG Image;image/jpeg;.jpeg
JPGVideo;video/jpeg;.jpgv
JPEG 2000 Compound Image File Format;video/jpm;.jpm
JavaScript;application/javascript;.js
JavaScript Object Notation (JSON);application/json;.json
KDE KOffice Office Suite - Karbon;application/vnd.kde.karbon;.karbon
KDE KOffice Office Suite - Kformula;application/vnd.kde.kformula;.kfo
Kidspiration;application/vnd.kidspiration;.kia
Google Earth - KML;application/vnd.google-earth.kml+xml;.kml
Google Earth - Zipped KML;application/vnd.google-earth.kmz;.kmz
Kinar Applications;application/vnd.kinar;.kne
KDE KOffice Office Suite - Kontour;application/vnd.kde.kontour;.kon
KDE KOffice Office Suite - Kpresenter;application/vnd.kde.kpresenter;.kpr
KDE KOffice Office Suite - Kspread;application/vnd.kde.kspread;.ksp
OpenGL Textures (KTX);image/ktx;.ktx
Kahootz;application/vnd.kahootz;.ktz
KDE KOffice Office Suite - Kword;application/vnd.kde.kword;.kwd
Laser App Enterprise;application/vnd.las.las+xml;.lasxml
LaTeX;application/x-latex;.latex
Life Balance - Desktop Edition;application/vnd.llamagraphics.life-balance.desktop;.lbd
Life Balance - Exchange Format;application/vnd.llamagraphics.life-balance.exchange+xml;.lbe
Archipelago Lesson Player;application/vnd.hhe.lesson-player;.les
ROUTE 66 Location Based Services;application/vnd.route66.link66+xml;.link66
Microsoft Learning Resource Module;application/vnd.ms-lrm;.lrm
Frogans Player;application/vnd.frogans.ltf;.ltf
Lucent Voice;audio/vnd.lucent.voice;.lvp
Lotus Wordpro;application/vnd.lotus-wordpro;.lwp
MPEG-21;application/mp21;.m21
M3U (Multimedia Playlist);audio/x-mpegurl;.m3u
Multimedia Playlist Unicode;application/vnd.apple.mpegurl;.m3u8
M4v;video/x-m4v;.m4v
Mathematica Notebooks;application/mathematica;.ma
Metadata Authority Description Schema;application/mads+xml;.mads
EcoWin Chart;application/vnd.ecowin.chart;.mag
Mathematical Markup Language;application/mathml+xml;.mathml
Mobius Management Systems - Basket file;application/vnd.mobius.mbk;.mbk
Mbox database files;application/mbox;.mbox
MedCalc;application/vnd.medcalcdata;.mc1
Micro CADAM Helix D&D;application/vnd.mcd;.mcd
Curl - Manifest File;text/vnd.curl.mcurl;.mcurl
Microsoft Access;application/x-msaccess;.mdb
Microsoft Document Imaging Format;image/vnd.ms-modi;.mdi
Metalink;application/metalink4+xml;.meta4
Metadata Encoding and Transmission Standard;application/mets+xml;.mets
Melody Format for Mobile Platform;application/vnd.mfmp;.mfm
MapGuide DBXML;application/vnd.osgeo.mapguide.package;.mgp
EFI Proteus;application/vnd.proteus.magazine;.mgz
MIDI - Musical Instrument Digital Interface;audio/midi;.mid
FrameMaker Interchange Format;application/vnd.mif;.mif
Motion JPEG 2000;video/mj2;.mj2
Dolby Meridian Lossless Packing;application/vnd.dolby.mlp;.mlp
Karaoke on Chipnuts Chipsets;application/vnd.chipnuts.karaoke-mmd;.mmd
SMAF File;application/vnd.smaf;.mmf
EDMICS 2000;image/vnd.fujixerox.edmics-mmr;.mmr
Microsoft Money;application/x-msmoney;.mny
Metadata Object Description Schema;application/mods+xml;.mods
SGI Movie;video/x-sgi-movie;.movie
MPEG-4 Video;video/mp4;.mp4
MPEG-4 Audio;audio/mp4;.mp4a
Mophun Certificate;application/vnd.mophun.certificate;.mpc
MPEG Video;video/mpeg;.mpeg
MPEG Audio;audio/mpeg;.mpga
Apple Installer Package;application/vnd.apple.installer+xml;.mpkg
Blueice Research Multipass;application/vnd.blueice.multipass;.mpm
Mophun VM;application/vnd.mophun.application;.mpn
Microsoft Project;application/vnd.ms-project;.mpp
MiniPay;application/vnd.ibm.minipay;.mpy
Mobius Management Systems - Query File;application/vnd.mobius.mqy;.mqy
MARC Formats;application/marc;.mrc
MARC21 XML Schema;application/marcxml+xml;.mrcx
Media Server Control Markup Language;application/mediaservercontrol+xml;.mscml
3GPP MSEQ File;application/vnd.mseq;.mseq
QUASS Stream Player;application/vnd.epson.msf;.msf
Mesh Data Type;model/mesh;.msh
Mobius Management Systems - Script Language;application/vnd.mobius.msl;.msl
Muvee Automatic Video Editing;application/vnd.muvee.style;.msty
Virtue MTS;model/vnd.mts;.mts
MUsical Score Interpreted Code Invented for the ASCII designation of Notation;application/vnd.musician;.mus
Recordare Applications;application/vnd.recordare.musicxml+xml;.musicxml
Microsoft MediaView;application/x-msmediaview;.mvb
Medical Waveform Encoding Format;application/vnd.mfer;.mwf
Material Exchange Format;application/mxf;.mxf
Recordare Applications;application/vnd.recordare.musicxml;.mxl
MXML;application/xv+xml;.mxml
Triscape Map Explorer;application/vnd.triscape.mxs;.mxs
MPEG Url;video/vnd.mpegurl;.mxu
Notation3;text/n3;.n3
Mathematica Notebook Player;application/vnd.wolfram.player;.nbp
Network Common Data Form (NetCDF);application/x-netcdf;.nc
Navigation Control file for XML (for ePub);application/x-dtbncx+xml;.ncx
N-Gage Game Installer;application/vnd.nokia.n-gage.symbian.install;.n-gage
N-Gage Game Data;application/vnd.nokia.n-gage.data;.ngdat
neuroLanguage;application/vnd.neurolanguage.nlu;.nlu
Enliven Viewer;application/vnd.enliven;.nml
NobleNet Directory;application/vnd.noblenet-directory;.nnd
NobleNet Sealer;application/vnd.noblenet-sealer;.nns
NobleNet Web;application/vnd.noblenet-web;.nnw
FlashPix;image/vnd.net-fpx;.npx
Lotus Notes;application/vnd.lotus-notes;.nsf
Fujitsu Oasys;application/vnd.fujitsu.oasys2;.oa2
Fujitsu Oasys;application/vnd.fujitsu.oasys3;.oa3
Fujitsu Oasys;application/vnd.fujitsu.oasys;.oas
Microsoft Office Binder;application/x-msbinder;.obd
Office Document Architecture;application/oda;.oda
OpenDocument Database;application/vnd.oasis.opendocument.database;.odb
OpenDocument Chart;application/vnd.oasis.opendocument.chart;.odc
OpenDocument Formula;application/vnd.oasis.opendocument.formula;.odf
OpenDocument Formula Template;application/vnd.oasis.opendocument.formula-template;.odft
OpenDocument Graphics;application/vnd.oasis.opendocument.graphics;.odg
OpenDocument Image;application/vnd.oasis.opendocument.image;.odi
OpenDocument Text Master;application/vnd.oasis.opendocument.text-master;.odm
OpenDocument Presentation;application/vnd.oasis.opendocument.presentation;.odp
OpenDocument Spreadsheet;application/vnd.oasis.opendocument.spreadsheet;.ods
OpenDocument Text;application/vnd.oasis.opendocument.text;.odt
Ogg Audio;audio/ogg;.oga
Ogg Video;video/ogg;.ogv
Ogg;application/ogg;.ogx
Microsoft OneNote;application/onenote;.onetoc
Open eBook Publication Structure;application/oebps-package+xml;.opf
Lotus Organizer;application/vnd.lotus-organizer;.org
Open Score Format;application/vnd.yamaha.openscoreformat;.osf
OSFPVG;application/vnd.yamaha.openscoreformat.osfpvg+xml;.osfpvg
OpenDocument Chart Template;application/vnd.oasis.opendocument.chart-template;.otc
OpenType Font File;application/x-font-otf;.otf
OpenDocument Graphics Template;application/vnd.oasis.opendocument.graphics-template;.otg
Open Document Text Web;application/vnd.oasis.opendocument.text-web;.oth
OpenDocument Image Template;application/vnd.oasis.opendocument.image-template;.oti
OpenDocument Presentation Template;application/vnd.oasis.opendocument.presentation-template;.otp
OpenDocument Spreadsheet Template;application/vnd.oasis.opendocument.spreadsheet-template;.ots
OpenDocument Text Template;application/vnd.oasis.opendocument.text-template;.ott
Open Office Extension;application/vnd.openofficeorg.extension;.oxt
Pascal Source File;text/x-pascal;.p
PKCS #10 - Certification Request Standard;application/pkcs10;.p10
PKCS #12 - Personal Information Exchange Syntax Standard;application/x-pkcs12;.p12
PKCS #7 - Cryptographic Message Syntax Standard (Certificates);application/x-pkcs7-certificates;.p7b
PKCS #7 - Cryptographic Message Syntax Standard;application/pkcs7-mime;.p7m
PKCS #7 - Cryptographic Message Syntax Standard (Certificate Request Response);application/x-pkcs7-certreqresp;.p7r
PKCS #7 - Cryptographic Message Syntax Standard;application/pkcs7-signature;.p7s
PKCS #8 - Private-Key Information Syntax Standard;application/pkcs8;.p8
BAS Partitur Format;text/plain-bas;.par
PawaaFILE;application/vnd.pawaafile;.paw
PowerBuilder;application/vnd.powerbuilder6;.pbd
Portable Bitmap Format;image/x-portable-bitmap;.pbm
Portable Compiled Format;application/x-font-pcf;.pcf
HP Printer Command Language;application/vnd.hp-pcl;.pcl
PCL 6 Enhanced (Formely PCL XL);application/vnd.hp-pclxl;.pclxl
CURL Applet;application/vnd.curl.pcurl;.pcurl
PCX Image;image/x-pcx;.pcx
PalmOS Data;application/vnd.palm;.pdb
Adobe Portable Document Format;application/pdf;.pdf
PostScript Fonts;application/x-font-type1;.pfa
Portable Font Resource;application/font-tdpfr;.pfr
Portable Graymap Format;image/x-portable-graymap;.pgm
Portable Game Notation (Chess Games);application/x-chess-pgn;.pgn
Pretty Good Privacy - Signature;application/pgp-signature;.pgp
PICT Image;image/x-pict;.pic
JPEG Image (Progressive);image/pjpeg;.pjpeg
Internet Public Key Infrastructure - Certificate Management Protocole;application/pkixcmp;.pki
Internet Public Key Infrastructure - Certification Path;application/pkix-pkipath;.pkipath
3rd Generation Partnership Project - Pic Large;application/vnd.3gpp.pic-bw-large;.plb
Mobius Management Systems - Policy Definition Language File;application/vnd.mobius.plc;.plc
PocketLearn Viewers;application/vnd.pocketlearn;.plf
Pronunciation Lexicon Specification;application/pls+xml;.pls
PosML;application/vnd.ctc-posml;.pml
Portable Network Graphics (PNG);image/png;.png
Portable Anymap Image;image/x-portable-anymap;.pnm
MacPorts Port System;application/vnd.macports.portpkg;.portpkg
Microsoft PowerPoint - Macro-Enabled Template File;application/vnd.ms-powerpoint.template.macroenabled.12;.potm
Microsoft Office - OOXML - Presentation Template;application/vnd.openxmlformats-officedocument.presentationml.template;.potx
Microsoft PowerPoint - Add-in file;application/vnd.ms-powerpoint.addin.macroenabled.12;.ppam
Adobe PostScript Printer Description File Format;application/vnd.cups-ppd;.ppd
Portable Pixmap Format;image/x-portable-pixmap;.ppm
Microsoft PowerPoint - Macro-Enabled Slide Show File;application/vnd.ms-powerpoint.slideshow.macroenabled.12;.ppsm
Microsoft Office - OOXML - Presentation (Slideshow);application/vnd.openxmlformats-officedocument.presentationml.slideshow;.ppsx
Microsoft PowerPoint;application/vnd.ms-powerpoint;.ppt
Microsoft PowerPoint - Macro-Enabled Presentation File;application/vnd.ms-powerpoint.presentation.macroenabled.12;.pptm
Microsoft Office - OOXML - Presentation;application/vnd.openxmlformats-officedocument.presentationml.presentation;.pptx
Mobipocket;application/x-mobipocket-ebook;.prc
Lotus Freelance;application/vnd.lotus-freelance;.pre
PICSRules;application/pics-rules;.prf
3rd Generation Partnership Project - Pic Small;application/vnd.3gpp.pic-bw-small;.psb
Photoshop Document;image/vnd.adobe.photoshop;.psd
PSF Fonts;application/x-font-linux-psf;.psf
Portable Symmetric Key Container;application/pskc+xml;.pskcxml
Princeton Video Image;application/vnd.pvi.ptid1;.ptid
Microsoft Publisher;application/x-mspublisher;.pub
3rd Generation Partnership Project - Pic Var;application/vnd.3gpp.pic-bw-var;.pvb
3M Post It Notes;application/vnd.3m.post-it-notes;.pwn
Microsoft PlayReady Ecosystem;audio/vnd.ms-playready.media.pya;.pya
Microsoft PlayReady Ecosystem Video;video/vnd.ms-playready.media.pyv;.pyv
QuickAnime Player;application/vnd.epson.quickanime;.qam
Open Financial Exchange;application/vnd.intu.qbo;.qbo
Quicken;application/vnd.intu.qfx;.qfx
PubliShare Objects;application/vnd.publishare-delta-tree;.qps
Quicktime Video;video/quicktime;.qt
QuarkXpress;application/vnd.quark.quarkxpress;.qxd
Real Audio Sound;audio/x-pn-realaudio;.ram
RAR Archive;application/x-rar-compressed;.rar
CMU Image;image/x-cmu-raster;.ras
IP Unplugged Roaming Client;application/vnd.ipunplugged.rcprofile;.rcprofile
Resource Description Framework;application/rdf+xml;.rdf
RemoteDocs R-Viewer;application/vnd.data-vision.rdz;.rdz
BusinessObjects;application/vnd.businessobjects;.rep
Digital Talking Book - Resource File;application/x-dtbresource+xml;.res
Silicon Graphics RGB Bitmap;image/x-rgb;.rgb
IMS Networks;application/reginfo+xml;.rif
Hit'n'Mix;audio/vnd.rip;.rip
XML Resource Lists;application/resource-lists+xml;.rl
EDMICS 2000;image/vnd.fujixerox.edmics-rlc;.rlc
XML Resource Lists Diff;application/resource-lists-diff+xml;.rld
RealMedia;application/vnd.rn-realmedia;.rm
Real Audio Sound;audio/x-pn-realaudio-plugin;.rmp
Mobile Information Device Profile;application/vnd.jcp.javame.midlet-rms;.rms
Relax NG Compact Syntax;application/relax-ng-compact-syntax;.rnc
RetroPlatform Player;application/vnd.cloanto.rp9;.rp9
Nokia Radio Application - Preset;application/vnd.nokia.radio-presets;.rpss
Nokia Radio Application - Preset;application/vnd.nokia.radio-preset;.rpst
SPARQL - Query;application/sparql-query;.rq
XML Resource Lists;application/rls-services+xml;.rs
Really Simple Discovery;application/rsd+xml;.rsd
RSS - Really Simple Syndication;application/rss+xml;.rss
Rich Text Format;application/rtf;.rtf
Rich Text Format (RTF);text/richtext;.rtx
Assembler Source File;text/x-asm;.s
SMAF Audio;application/vnd.yamaha.smaf-audio;.saf
Systems Biology Markup Language;application/sbml+xml;.sbml
IBM Electronic Media Management System - Secure Container;application/vnd.ibm.secure-container;.sc
Microsoft Schedule+;application/x-msschedule;.scd
Lotus Screencam;application/vnd.lotus-screencam;.scm
Server-Based Certificate Validation Protocol - Validation Request;application/scvp-cv-request;.scq
Server-Based Certificate Validation Protocol - Validation Response;application/scvp-cv-response;.scs
Curl - Source Code;text/vnd.curl.scurl;.scurl
StarOffice - Draw;application/vnd.stardivision.draw;.sda
StarOffice - Calc;application/vnd.stardivision.calc;.sdc
StarOffice - Impress;application/vnd.stardivision.impress;.sdd
SudokuMagic;application/vnd.solent.sdkm+xml;.sdkm
Session Description Protocol;application/sdp;.sdp
StarOffice - Writer;application/vnd.stardivision.writer;.sdw
SeeMail;application/vnd.seemail;.see
Digital Siesmograph Networks - SEED Datafiles;application/vnd.fdsn.seed;.seed
Secured eMail;application/vnd.sema;.sema
